title,artist,year,medium,description,artist_bio,location,period,provenance,image_url,source_url
Effusive Series,Nyemike Onwuka,,,,"Nyemike Onwuka, born in 1972, is a renowned Nigerian postwar and contemporary painter known for his vibrant and expressive works. studied general arts and majored in painting at Auchi Polytechnic, Edo State. He also studied animation and visual effects at Witwatersrand University, Johannesburg, South Africa. Onwuka’s art is deeply rooted in his Nigerian heritage, often reflecting his homeland's rich cultural narratives and traditions. His ability to capture the essence of human experiences and emotions has made his work resonate with a wide audience. This artwork portrays a woman with her hair elegantly wrapped in a scarf, and her lips painted red, complemented by matching earrings and a necklace. Her eyes are closed, her expression conveying deep emotion as if lost in distant thought. The piece must be a part of the artist's “Effusive” series, which explores themes of cultural identity, resilience, strength, connection, and community. This series is particularly distinguished by its vibrant use of color and emotion, capturing the essence of human experiences and cultural narratives.",,Painting,,"https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/effusive-series/kgF82Uz109v6vw
Waiting II,Diseye Tantua,2011,Mixed Media on Canvas,"Waiting II is the second in a series of painting by Diseye portraying a group of women patiently waiting for a haulage task, as generally seen in market places. Unlike the first in the series, the three women look tired and exhausted from the busy day of strenuous haulage activities. They all seem to be sleeping with the first sitting inside her basin with her face covered with her scarf, the second lying and sleeping on the back of her basin, while the last is sitting on the floor with her arms anchored on her knees and covering her face. The texture of the work characterized by blend of smooth and rough, “sketchy” brush strokes on the bodies of the characters and dripping paints of different hues all over its surface. The painting reflects on the importance of taking a nap and resting during and after stressful work as it celebrates the resilience and doggedness of women who strive daily to earn a living and sustain their families.","Diseye Tantua is a contemporary Nigerian painter born in 1974 in Accra, Ghana to a Nigerian father and a Ghanaian mother. He obtained a Bachelor’s Degree in Art from the Department of Fine and Applied Art at the Rivers State University of Education, now Ignatius Ajulu University, Rivers State. Diseye’s art is famous for his fusion of bold, bright colours and, most times, graphic symbols and expressive texts in a rendition style known as “Afro Pop Art”. His themes are generally centered around urban and social life, inspired by the daily struggle to survive and make ends meet in the city. Diseye lives and works in Port-Harcourt, Rivers State and his works have been widely exhibited at home and abroad.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/waiting-ii/5gEPHaWgK83qDA
,,,,,,,,,https://lh3.googleusercontent.com/ci/AL18g_SleonyGLiTrYY9WZS-TwmA03-FWHRwUgNHc5ui7TC9sbOmEqDHRhTG0QZprpPPtTaj0oQ0eg=x0-y0-z0-nt0CTt0_J0eb6Gn77SPI3wRSgn1198,https://artsandculture.google.com/asset/altar-grouping-with-oba/LwHOGkm1t_IEjA
The Muslim Beauty,Akinola Lasekan,1952,Oil on Canvas,"The Muslim Beauty, is a portrait of a young beautiful lady, probably of Yoruba decent, elegantly dressed in a yellow Muslim Hijab. Her outlook shows simplicity, decency and humility. Islam is one of the dominant religions in Western Nigeria.","Famous for naturalistic portraiture, Akinola Lasekan was one of the early pioneers of modernism in Nigerian art in the 20th century. He and his peers were the first set of students to receive European art education. They would go on to become the first indigenous art educators and would spread the gospel of art in government colleges and mission schools across the country in the 1940’s. Besides teaching in schools, he made personal strides in democratizing art and making art education/training more accessible to people by setting up the Lash Studio Correspondence School in Lagos in 1940 where he organized and offered diploma art training courses via Correspondence. Some of the courses offered were book illustration, commercial art, colouring, landscape and figure drawing. Pictorial Naturalism was incorporated and strongly emphasized in his correspondence courses. This had a lot of influence on numerous artists in the country including the likes of Abayomi Barber whose surrealism was founded on Lasekan’s naturalism. In 2018, he was posthumously inducted into the Society of Nigerian Artists (SNA) Hall of Fame for his distinguished service to the society and the nation and his immense contribution to Lash, as he preferred to address himself for short, loved to explore themes surrounding Yoruba myths and culture, the environment and life around him in his paintings.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_RDSAc1X_vNSd6kB-bDxYA2Ix9YdxF96tUmtpwPu_naPGcyuZEO44jCjGIpPboNgsNGTcBNQg=x0-y0-z0-nt0TUWTK0mls4NMxCtfDKtGPoxRYBQ,https://artsandculture.google.com/asset/the-muslim-beauty/cAHZNZICYzcO2g
Waiting I,Diseye Tantua,2011,Mixed Media on Canvas,"Waiting I shows a group of women sitting and patiently waiting for a haulage task, normally found in rural and urban market places. Metallic basins which serve as troughs for loading customer goods on their heads can be seen in the background. The second woman on the left can be noticed sitting on her own basin. As they patiently wait to be patronized, the two women on the right can be noticed to be chatting while the others seem indifferent in their outlook. Diseye displays an excellent maturity in his use of colours for this painting as he explores the theme of Nigerian and African women whose spirit of hardwork, resilience, commitment and perseverance is second to none as they strive daily to make ends meet for their families.","Diseye Tantua is a contemporary Nigerian painter born in 1974 in Accra, Ghana to a Nigerian father and a Ghanaian mother. He obtained a Bachelor’s Degree in Art from the department of Fine and Applied Art at the Rivers State University of Education, now Ignatius Ajulu University, Rivers State. Diseye’s art is famous for his fusion of bold, bright colours and, most times, graphic symbols and expressive texts in a rendition style known as “Afro Pop Art”. His themes are generally centered around urban and social life, inspired by the daily struggle to survive and make ends meet in the city. He lives and works in Port-Harcourt, Rivers State and his works have been widely exhibited at home and abroad.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/waiting-i/qQGCTOkRTDCd3Q
Takeoff Point,Alex Shyngle,1994,Oil on canvas,,"Alex Shyngle captures the typical mood of locations of this nature which are common in the riverine areas and coastlines of Nigeria. Despite not being as popular as other means and types of transportation, water transportation is still very much in use in the country today.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/takeoff-point/YAHFXdrgDb4Fag
Emanating,Odun Orimolade,,Graphite on Paper,"Emanating, the artist uses shades of grey, white, and black to depict a central object, evoking a sense of abstraction and depth. The word ""emanating"" means ""to originate or to spread out,"" which is reflected in the artwork's composition. The shades and textures in the piece appear to flow outward, symbolizing the extension of energy, ideas, or emotions from a core source. This work invites viewers to contemplate the essence of creation and how influences radiate from a single point, shaping the surrounding environment.","Odun Orimolade, born in 1976, is a Nigerian visual artist whose work spans painting, drawing, collage, etching, sculptural installation, and performance. She challenges viewers to reconsider their roles in experiencing art. Orimolade graduated from Yaba College of Technology and holds a Postgraduate Diploma and a Master’s in Visual Art from the University of South Africa, where she is also pursuing a PhD. Her experimental approach frequently highlights drawing and investigates themes of overlapping realities and the influence of external forces on human behavior. Based in Lagos, Orimolade has exhibited widely in solo shows and serves as a lecturer at her alma mater. She is also deeply involved in community work, facilitating art workshops and mentoring young artists. In",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/emanating/jAGLI8QBkHcRWg
Untitled,El Anatsui,1990,Wood,"Untitled piece shows a classic creative experiment typical of El Anatsui, done with wooden panels. He normally cuts his wood into panels with a chainsaw before he engraves signs and motifs all over them, then paints them with colours. The panels on the work have been rounded and smoothened. Some of them are not fully rounded in shape like others. The black engraved motifs are symbols of the uli art.","Emmanuel Kwami Anatsui is a painter and sculptor born in Anyako, Ghana in 1944. He obtained a B.A, majoring in Sculpture, in 1968; a postgraduate diploma in art education in 1969; and won the best student of the year award, 1969 all from the College of Art, University of Science & Technology, Kumasi, Ghana. He started out as a lecturer at the Specialist Training Centre, Winneba, Ghana between 1969-1975. He then relocated to Nigeria and became a sculpture professor at the Department of Fine and Applied Art of the prestigious University of Nigeria, Nsukka in 1975. Anatsui has spent the better part of his career in Nigeria and has explored different media including wood, clay and found objects in his creative, sculptural experiments as an artist. His first solo exhibition in Nigeria was the ""Wooden Wall Plaques by El Anatsui,"" Asele Art Gallery, Nsukka, in February, 1976. His works are filled with Ghanian motifs together with symbols of uli, nsibidi and adinkra as he explores themes surrounding Nigerian and Ghanaian cultures and heritage. Recently, he has shifted his focus to installation art and has garnered so much international acclaim and recognition for his niche “bottle-top installations”. He is currently the biggest and most celebrated artist from Africa. This","Nsukka, Nigeria",Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_TVOdPgLu-YkeNtbkKqxz23YdJb81NqmPJUANyA0gickBxKIkDlOGMz0UmJj67g1BfKcP1IuA=x0-y0-z0-nt09Oiykic18UPnqq92Aa4Vw76ueQk,https://artsandculture.google.com/asset/untitled/AAGJmCAmNXgNug
First Station,Bruce Onobrakpeya,,Print,"First Station is the first in Onabrakpeya’s series depicting the Stations of the Cross, which chronicles the suffering and crucifixion of Jesus Christ. Onabrakpeya, however, brings a unique cultural reinterpretation to this biblical narrative. In his version, Jesus is dressed in traditional African attire, while the Roman soldiers who jeer and guard him are depicted in British colonial uniforms. This deliberate artistic choice underscores the theme of oppression, drawing a parallel between Christ’s suffering and the colonial experience in Africa. In the artwork, Jesus is portrayed carrying his cross, while Pontius Pilate, on the far right, is seen washing his hands, symbolizing his attempt to absolve himself of responsibility for Christ's crucifixion. Through his use of African cultural elements and the colonial references, Onabrakpeya adds layers of meaning to the religious story, emphasizing the relevance of faith, suffering, and liberation in both African history and Christian theology.","Bruce Onabrakpeya, born in 1932, is a renowned Nigerian artist recognized for his pioneering contributions to printmaking and mixed media. With a career spanning decades, Onabrakpeya has skillfully blended traditional African themes with modern techniques, exploring concepts of identity, spirituality, and cultural heritage. His work has greatly influenced the Nigerian art landscape, particularly through his mentorship and role in fostering a resurgence of contemporary African art.",,Print,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/first-station/UgEzF7LwEFJZ0A
The Goat Market,Abdulsalam Abdulkareem,2008,Oil on Canvas,"The Goat Market, as the title implies, shows a local Nigerian market where goats, cows and sheep are the only commodities traded. Markets of this nature are at their peak during religious celebrations (eg Christmas, Easter, Salah etc) and cultural festivities in the country as the demand for meat is usually very high during those periods of the year. Though it is more synonymous with the Northerners, Livestock farming is a very common practice in the country as it is very a lucrative business.","Born 1971, Abdulsalam Abdulkareem is a native of Bida, Niger state. He studied Fine Art at the Yaba College of Technology where he obtained an OND (1998) and a HND (2000), majoring in painting.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_Q-a8RMi-561-vlZ7yqRnkuEMeXv3QxT2SFOJKN3_BxDT6RAV2TReI1sv33Z8CD137dyXga5Q=x0-y0-z0-nt0VVimfGdWky7JfdpsYcPt2Xa_iTc,https://artsandculture.google.com/asset/the-goat-market/CgFQ6umK5cZZZg
Nomads,Kolade Oshinowo,1993,Oil on Canvas,"Nomads portrays a herd of men and women walking through what looks like a desert with a few surrounding trees. They can be noticed carrying their luggage on their heads as they all head east on the painting. Oshinowo is probably trying to express the nomadic lifestyle common among the Fulanis of northern Nigeria who are known for their constant migration and nomadic nature in general. The choice of colours is dull, yet warm while texture feels rough with gentle brush strokes. Migration is the central theme expressed in the painting.","Kolade Adekunle Oshinowo is a well-respected contemporary Nigerian painter and teacher born in Ibadan in 1948. He obtained a Bachelor of Arts in Fine Arts from Ahmadu Bello University, Zaria in 1972, majoring in painting. He was a teacher at King’s College, Lagos (1972-74). In 1973, he started lecturing part-time at the Yaba College of Technology (YABATECH), Lagos, at the persuasion of Yusuf Grillo who assigned him to take a weekly class on pictorial composition. Eventually he joined the institution full time in 1974 and would spend the next 35 years there in service, teaching and inspiring generations of talent to become great artists. From 1990, he was the chief lecturer and director, School of Art, Design & Printing, YABATECH. Oshinowo is very passionate about his profession as an artist and believes in the unique role of art for a better society. He would instill these ideals and values upon his students making them see their profession beyond illustrations, drawing, painting and sculpting. As a prolific painter he loves exploring themes on urban life, events/activities in his surroundings and everyday life in the larger society. He also seeks to address different social and political issues in the society in his works. In 2018, Oshinowo was inducted into the Hall of Fame of the Society of Nigerian Artists (SNA) for immense contribution to the practice and teaching of visual art in Nigeria and his service to the nation.",Lagos,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/nomads/fwGMxxJKsKy7dg
Market Place,Kolade Oshinowo,1994/1996,Acrylic on Board,"Market Place is a classic landscape by Kolade Oshinowo showing an open local market setting in a village saturated with colours. One sees the very busy nature of such markets with people moving randomly around, either hawking or looking for things to buy on a typical market day. The traders can be seen sitting on chairs, surrounded by large baskets containing their stock on the floor. Some of them have umbrellas to cover themselves from the scotching heat of the sun while others don’t. Some of the women can be noticed with their grown children who assist in selling their goods while a few have their babies either tied to their back with a wrapper or in their arms. The market seems to be at the heart of the small village as resident houses in brown can be seen surrounding it and spreading into the horizon of the painting. The horizon is also filled with lush trees in different shades of green as well. Oshinowo shows so much technicality and skill in the surrealistic portrayal of this local Nigerian landscape.","As a prolific painter, Kolade Adekunle Oshinowo loves exploring themes on rural and urban life, events/activities in his surroundings and everyday life in the larger society. The","Lagos, Nigeria",Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/market-place/kgGJDcNj_AmUoQ
Prince Yemisi Adedoyin Shyllon,,2020,,"Prince Yemisi Adedoyin Shyllon hails from Abeokuta, in Ogun State of Nigeria, from the Sogbulu and Ogunfayo lineage of the Laarun royal ruling house of Ake in Egbaland. He is a graduate of Engineering (University of Ibadan), of Law (University of Lagos) and an MBA degree (Obafemi Awolowo University). He is a Nigerian Chartered Stockbroker and Fellow of several chartered professional bodies. Prince Shyllon served as a manager of Tractor and Equipment (division of UACN PLC conglomerate Nigeria). In 1983, he was appointed executive director and for some years was also the legal adviser of Nigerite Ltd in Nigeria, a subsidiary of the ETEX Group of Belgium. He commenced investing in the stock market in his university undergraduate days and continued investing in real estate, shares, business startups and, of course, artworks. He commenced collecting artworks from his undergraduate days at the university. Prince Shyllon established his art foundation - Omooba Yemisi Adedoyin Shyllon Art Foundation (OYASAF), in 2007. The OYASAF art collection is Nigeria’s largest private art collection. It holds over 7,000 artworks of all genres as well as over 55,000 photographic images of Nigeria’s fast disappearing cultural festivals. OYASAF sponsors scholars, curators and artists from within and outside Nigeria, to study his collection and research into Nigerian art and culture. In 2012, he endowed the Yemisi Shyllon Professorial Chair for Fine Art and Design at the University of Port-Harcourt, Nigeria and the on-line journal of African art, “The OYASAF Journal of Art (TOJA)”. OYASAF has donated life size sculptural monuments to the Freedom Park in Lagos, to the Universities of Lagos and Ibadan and to other public places and institutions in Nigeria. Prince Shyllon is the joint author of a book on the Yoruba sculptor, Lamidi Fakeye. He granted 1,000 artworks to the Yemisi Shyllon Museum of Art at Pan Atlantic University. His works form the core of the museum’s collection. Programmes",,Nigeria,Photograph,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_QoDdOw1WyTxux6eLohYaM0Ld1bv2UD_BJqShJy1LNl4EN8WjpfwNe81SBV7BD1bkAXsMv-isMC=x0-y0-z0-nt0W85QkyQUjtPAx3bI9UKTWbutsbE,https://artsandculture.google.com/asset/prince-yemisi-adedoyin-shyllon/NwHkxmHSqUvovA
Untitled,Hakeem Salaam,,Acrylic on Canvas,,"Hakeem Salaam is an acclaimed Nigerian photographer recognized for his expertise in documentary, travel, landscape, portrait, and fashion photography. He began his journey in photography in 1989 and became widely recognized in 2001 when he transitioned to capturing real people. Over the years, he has been involved in prominent photography projects, including Beautiful Nigeria and Vitiligo Portraits, and has received the Fashion Photographer of the Year Award. He has exhibited work at the 2019 Ake Festival and is a Canon Influencer and trainer. In this powerful photograph, a mother and child are depicted in an Internally Displaced Persons (IDP) camp. The image conveys raw emotion, with the mother gazing directly at the viewer, asking an unspoken question. The composition and colors amplify the emotional weight of the scene, highlighting themes of displacement and survival.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled/xQFApxpeK3wIYA
The Architecture of the Yemisi Shyllon Museum of Art,,2021/2021,,"The Yemisi Shyllon Museum of Art is the first purpose built, privately owned art museum in Nigeria. The Museum is located in Lagos and part of the Pan-Atlantic University. The Museum opened to the public in 2020 and was designed by Spanish-Nigerian architect and Director Jess Castellote. The architecture is inspired by the principles of the buildings at the Pan-Atlantic University; fitness for purpose, flexibility, sustainability and character. The stained concrete outer walls was inspired by the red mud houses of earlier civilizations, including the ancient Benin Kingdom. The main building houses the art galleries and the gazebo is used for educational activities. The 900 sqm Museum hosts over 1000 artworks from Prince Yemisi Shyllon’s art collection. The Museum holds one of the most comprehensive and diverse art collections in Nigeria. Visitors are invited to learn more about art from the ancient kingdoms Ife, Nok and Benin. Visitors can also explore art by contemporary artists including Ben Enwonwu, Bruce Onobrakpeya and Nike Davies-Okundaye.",,,,,"https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/the-architecture-of-the-yemisi-shyllon-museum-of-art/9QHJfOPY6CpDzg
Freedom and Truth,Morohunmubo Olayemi Afolabi,2022,Acrylic on Canvas,,"Morohunmubo Olayemi Afolabi is a mixed-media artist whose work is characterized by intricate graphic lines and flowing forms, drawing on her background in architecture. Through abstraction and collage, she layers stories and personal narratives to build immersive, richly textured worlds. With over 25 years of experience in art, interior design, and architecture, Mubo is trained as both an architect and artist. She studied at the Inchbald School of Interior Design and the University of Creative Arts in the UK, as well as Castello Valentino, Turin, Italy, as part of the ERASMUS project. Mubo also holds an MBA in Digital Marketing and is a member of several professional bodies, including the Royal Institute of British Architects, the Architects Registration Council of Nigeria, and the Nigerian Institute of Architects. This vibrant painting bursts with colors—blue, purple, orange, and more—creating a fantastical, utopian world. Mubo invites the viewer to explore her dreamlike landscapes, blending architecture with imagination.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/freedom-and-truth/cQE8DxO_q35B9g
Fifth Station,Bruce Onobrakpeya,,Print,"Fifth Station, the biblical moment when Simon of Cyrene helps Jesus carry the cross is reinterpreted with a cultural twist. True to his style, Onabrakpeya merges traditional African elements with the religious narrative, emphasizing the local and global significance of the story. Simon of Cyrene, a key figure in this station, is portrayed in African attire, underscoring his cultural roots and aligning him with the African audience. His assistance to Jesus symbolizes the universal theme of compassion, transcending cultural and geographical boundaries. In contrast, a guard in the scene is dressed in British colonial uniform, a recurring symbol in Onabrakpeya’s Stations of the Cross series. This juxtaposition between African and colonial imagery adds layers of meaning, suggesting themes of oppression, empathy, and shared suffering. Onabrakpeya’s artistic choices not only highlight the historical moment but also invite reflection on the struggles faced by African societies under colonial rule, drawing parallels between the biblical narrative and the African experience. Through this artwork, he transforms a religious story into a broader commentary on humanity, sacrifice, and cultural identity. This Fifth Station blends the sacred with the socio-political, showcasing Onabrakpeya’s unique ability to contextualize spiritual themes within African history and culture, making the piece relevant to contemporary audiences.",In Bruce Onabrakpeya’s,,Print,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/fifth-station/OQEofXWikz6D4A
Portuguese Soldier,Unknown,1700/1899,Bronze,"Through the Benin punitive expedition of 1897 the first bronze works from Africa were recorded. These bronze works are known collectively as Benin Art. They were first discovered when the spoils of the Benin punitive expedition caught the attention of the European public after the expedition. The first contact of European scholars, archeologists and historians with Benin art left them in awe. It was difficult for them to accept that such stylistic and advanced works in bronze and ivory could have come from a land they had regarded as uncivilized, primitive and fetish. The Benin bronze casters started creating these bronze figures before the 13th century. As a work from the ancient Benin kingdom, this piece shows signs of early contact with the Portuguese in the kingdom during the reign of Oba Esigie. In a defensive stance, the soldier positions himself well enough to enable him take a shot at a likely invader. Rendered in the typical Benin style, the eyes are stylized into oval shapes while the lips are rendered in a simplified organic shape. The soldier stands on a box and miniature soldiers are depicted standing around this box.",,Benin,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_RVom7rKTotOGruqRwW5LacOU3Z4fxdtcHyUALxSly6ByJJrOiSOegErXpAZzo2L8pZ2iQS98k=x0-y0-z0-nt0OY98yfsmpDo7K9hloPX4ploMwoE,https://artsandculture.google.com/asset/portuguese-soldier/lQExUaivwFVAqw
Untitled 2,Simon Okeke,1966,Pastel on paper,"Untitled 2 presents a family scene where a mother is dishing out food from a calabash to her four children. The use of form and posture captures a simple, yet intimate, moment of familial bonding, rendered in Okeke’s signature style.",Simon Okeke’s,,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled-2/ZgHXCfcpvVvE8Q
Untitled,Dele Jegede,2009,Oil on Canvas,"Born on April 19, 1945 in Ikere-Etiti, Ekiti State, Nigeria. He earned his first degree in Fine Arts from the Ahmadu Bello University, Zaria, Nigeria in 1933. He studied Art History from Roy Sieber at Indiana University, Bloomington, Indiana from 1979-1983. He is widely known for his scholarly research and curatorial pursuits. This painting is an abstract painting showing contorted lines, figures and forms.",,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled/CAF5WlvoXSadUQ
Gallery visitor,,,,"The Yemisi Shyllon Museum of Art (YSMA), of the Pan-Atlantic University, Lagos, is the first purpose built, privately owned art museum in Nigeria. The 900 sqm museum hosts over 1000 artworks from Prince Yemisi Shyllon’s vast art collection. Thanks to him, the YSMA is privileged to have one of the most comprehensive and diverse art collections in the country and to make it accessible to all visitors. Our collection features artworks from established Nigerian artists including Ben Enwonwu, Uche Okeke, Aina Onabolu, El Anatsui, Erhabor Emokpae, Yusuf Grillo, Lamidi Fakeye, Bruce Onabrakpeya, Ben Osawe, Isiaka Osunde, Okpu Eze, Abayomi Barber, Gani Odutokun, Kolade Oshinowo, etc. Alongside them, are works by younger artists: Kainebi Osahenye, Ben Osaghae, Peju Layiwola, Tony Nsofor, Peju Alatise, Victor Ehikhamenor, Lanre Tejuoso, Eva Obodo, Ozioma Onuzulike, Uchay Chima, Ayobola Kekere-Ekun, Kelani Abass and many others.",,"Lagos, Nigeria",,,https://lh3.googleusercontent.com/ci/AL18g_RdTbRUN28-KBuCEDJfLDTSeC08cjstnsFRvdfgI7B4xa4tQ9FBSWvE5gdks21z6ZBcpnOrAFIx=x0-y0-z0-nt0QyJsSHOVRiQZ9qKxeLukGXPWX4I,https://artsandculture.google.com/asset/gallery-visitor/SwENPTqCwFH3ew
Cycle of Life,Nike Davies-Okundaye,1980,Textile,"Cycle of Life. The work is comprised of sections of different fabrics which have been joined together in a technique called “patchwork"" which is a term borrowed from the West. It is a hand stitched wall hanging with indigo as its dominant color. The artist uses different symbolic motifs to explore different philosophies of life and to pass knowledge and meaning across. Some of the motifs signify law-making and rulers in the society. The crab motif signifies the stage in life when children crawl before they eventually walk. The flower motif represents life; the circular motifs signify money while the motif which has the form of a key signifies the tool which is used to access the money. Other motifs and their significance include: the star motif which represents the indomitable nature of a fighter; the tribal mark motif is used to show a person’s identification with his or her roots; the sugarcane motif signifies the intransigence of sweet things in life; the hand fan motif signifies royalty as well as the consuming nature of fire; and the scissors motif signifies continuity in life as it is the tool used to cut the physical connection between mother and child after birth. The motifs from the adire fabric with their symbolic meanings shows the depth of thought that goes into any adire making process.","Born in 1951, Nike Davies-Okundaye learnt the art of “Adire” from her mother who passed away when she was six years old and later from her grandmother who passed away a year later. Years later she worked with a popular artist in Oshogbo and here she harnessed her skills while acquiring new ones. She also attended some of the Oshogbo art workshops organized by Ulli and Georgina Beier in the early 1960s. Nike Davies-Okundaye displays the beauty of the Adire fabric in this piece which she titled the","Osogbo, Nigeria",Tie and Dye,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_R6v99HnPo2BGsZjUPlRyM--ujb3Pxy18achrEy5129mYAGA_Rb63J0GfOk3OJ-agKqQgIKH7yM=x0-y0-z0-nt0Lrc1QRt46JB2WaQGv0SfLBGrwXs,https://artsandculture.google.com/asset/cycle-of-life/9QFs7CZkmVFLBQ
Oamen,Annehita Aletor,,,"Oamen” is a colorful piece that talks about the history and pride of the Esan tribe through the use of vibrant colours, motifs, and carefully selected materials. Aletor's art embodies the enduring power of storytelling and the universal language of creativity","Annehita Aletor born in 1978, is a UK-based artist of Nigerian origin. A self-taught art enthusiast with a deep connection to visual and contemporary art. She graduated from Ambrose Alli University, Ekpoma. The artwork “",,Painting,,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/oamen/uQEIHZtIbtAJ5w
